2025/06/09 11:28:21 Using database at: /Users/usuario/Documents/PROYECTOS/herobudgetflutter/hero_budget/backend/google_auth/users.db
2025/06/09 11:28:21 Database connection established successfully
2025/06/09 11:28:21 Categories Management service started on :8096
2025/06/09 11:55:34 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 11:55:34 DEBUG - Emoji después de creación: 💰
2025/06/09 12:06:02 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:06:02 DEBUG - Emoji después de creación: 💰
2025/06/09 12:06:02 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:08:08 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:08:19 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:09:59 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:12:07 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:14:33 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:14:50 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:15:04 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:15:36 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:17:48 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:50:38 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:51:46 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:57:45 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 12:58:14 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 13:19:34 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 13:19:57 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 13:22:54 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 13:30:42 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 13:31:10 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 13:37:45 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 13:37:51 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
2025/06/09 13:38:07 DEBUG - Emoji decodificado: 'BASE64:8J+SsA==' -> '💰'
